order_date,product_category,total_sales,total_profit,avg_discount,num_orders
2012-01-01,Office Supplies,1052.8400000000001,-454.71000000000004,0.09,2
2012-01-02,Furniture,5322.25,-1242.9299999999998,0.035,2
2012-01-02,Office Supplies,5779.62,1701.0529999999999,0.07,4
2012-01-03,Furniture,960.76,-239.21,0.07,2
2012-01-03,Office Supplies,504.06,27.9645,0.0325,4
2012-01-03,Technology,30533.0355,13539.137499999999,0.035,4
2012-01-04,Furniture,1039.56,-394.69,0.06,1
2012-01-04,Office Supplies,214.69,-67.685,0.05,2
2012-01-05,Furniture,28011.399999999998,1793.0342499999997,0.05714285714285715,7
2012-01-05,Office Supplies,1171.57,82.41,0.04666666666666667,3
2012-01-05,Technology,10551.434,1444.9478,0.032,5
2012-01-06,Furniture,32294.76,-11047.57,0.030000000000000002,4
2012-01-06,Office Supplies,3122.46,-61.77200000000002,0.04142857142857143,7
2012-01-06,Technology,108.57849999999999,-201.123,0.045,2
2012-01-07,Office Supplies,1370.05,-152.50099999999998,0.0575,4
2012-01-07,Technology,50770.8585,-2161.7099999999996,0.05800000000000001,5
2012-01-08,Furniture,75.77,64.25,0.03,1
2012-01-08,Office Supplies,22140.579999999998,9331.198,0.05666666666666667,3
2012-01-09,Office Supplies,1104.87,-437.6445,0.04857142857142858,7
2012-01-09,Technology,107.95,-506.308,0.04,1
2012-01-10,Furniture,3345.64,-273.1,0.02666666666666667,3
2012-01-10,Office Supplies,6177.55,1719.47,0.046,5
2012-01-10,Technology,17786.74,5050.5,0.025,4
2012-01-11,Furniture,712.67,-552.82,0.035,2
2012-01-11,Office Supplies,479.81,8.16,0.045,2
2012-01-11,Technology,12666.439999999999,1864.8999999999999,0.07333333333333333,3
2012-01-12,Furniture,20043.39,4870.5199999999995,0.04,2
2012-01-12,Office Supplies,3042.98,-18.819999999999993,0.032,5
2012-01-12,Technology,401.14,-131.03,0.1,1
2012-01-13,Furniture,39.23,-66.58,0.06,1
2012-01-13,Office Supplies,958.75,156.33,0.045000000000000005,2
2012-01-13,Technology,445.34,-377.9019,0.03,1
2012-01-14,Furniture,8100.910000000001,1247.56,0.043333333333333335,3
2012-01-14,Office Supplies,4063.06,-419.78999999999996,0.075,6
2012-01-14,Technology,19488.079999999998,3890.2508999999995,0.03333333333333333,3
2012-01-15,Furniture,201.06,-80.86,0.08,1
2012-01-15,Office Supplies,1037.05,32.54650000000001,0.04,5
2012-01-16,Furniture,1885.01,-343.980143,0.03666666666666667,3
2012-01-16,Office Supplies,1227.94,-215.9625,0.045000000000000005,6
2012-01-16,Technology,2836.0505,561.132,0.01,1
2012-01-17,Office Supplies,11716.75,521.8,0.05800000000000001,10
2012-01-17,Technology,865.8795,-341.398,0.03,2
2012-01-18,Furniture,8875.17,2372.08,0.05,1
2012-01-18,Office Supplies,5314.76,1960.659,0.05,5
2012-01-18,Technology,331.21,-67.3815,0.04,1
2012-01-19,Office Supplies,3775.2599999999998,1069.6699999999998,0.09333333333333334,3
2012-01-19,Technology,2215.96,-101.6595,0.0,1
2012-01-20,Furniture,3970.33,-229.79,0.02,1
2012-01-20,Office Supplies,2167.05,684.9,0.02,1
2012-01-21,Furniture,16740.100000000002,218.63959999999997,0.04,3
2012-01-21,Office Supplies,7899.46,1577.662,0.05800000000000001,10
2012-01-21,Technology,335.59,85.83,0.04,1
2012-01-22,Furniture,41290.94,8743.59,0.01,4
2012-01-22,Office Supplies,1858.2199999999998,-296.84549999999996,0.03333333333333333,3
2012-01-22,Technology,7343.044,1239.776,0.06333333333333334,3
2012-01-23,Office Supplies,1449.0600000000002,388.97,0.035,2
2012-01-23,Technology,1383.2,-23.44,0.01,1
2012-01-24,Furniture,6654.39,1151.69,0.1,1
2012-01-24,Office Supplies,972.64,-53.56,0.03333333333333333,3
2012-01-24,Technology,4429.69,983.55,0.03,1
2012-01-25,Furniture,11.08,-8.93,0.06,1
