order_date,region,total_sales,total_profit,avg_discount,num_orders
2012-01-01,East,1052.8400000000001,-454.71000000000004,0.09,2
2012-01-02,Central,124.81,-11.937,0.06,1
2012-01-02,West,10977.06,470.0600000000002,0.05800000000000001,5
2012-01-03,Central,840.2155,-254.13299999999998,0.02,2
2012-01-03,South,29876.16,14155.7945,0.057999999999999996,5
2012-01-03,West,1281.48,-573.7695,0.02666666666666667,3
2012-01-04,Central,1254.25,-462.375,0.05333333333333334,3
2012-01-05,Central,38562.833999999995,3237.9820499999996,0.04666666666666667,12
2012-01-05,East,188.73,-32.48,0.05,1
2012-01-05,South,982.8399999999999,114.88999999999999,0.045,2
2012-01-06,Central,26133.39,-11053.6,0.04,1
2012-01-06,East,2357.45,-108.8,0.02,1
2012-01-06,South,6933.1885,-74.87499999999997,0.041,10
2012-01-06,West,101.77,-73.19,0.03,1
2012-01-07,Central,1376.287,-315.0605,0.06333333333333334,3
2012-01-07,East,48065.58,-2225.7704999999996,0.05,4
2012-01-07,West,2699.0415000000003,226.62000000000003,0.065,2
2012-01-08,East,140.06,78.67,0.05,2
2012-01-08,South,324.28,20.43,0.07,1
2012-01-08,West,21752.01,9296.348,0.03,1
2012-01-09,Central,163.75,-109.9,0.060000000000000005,2
2012-01-09,East,293.93,-499.078,0.06666666666666667,3
2012-01-09,West,755.1400000000001,-334.97450000000003,0.02,3
2012-01-10,Central,9708.31,1037.78,0.045714285714285714,7
2012-01-10,East,1342.28,291.58000000000004,0.01,2
2012-01-10,South,16146.53,5252.74,0.025,2
2012-01-10,West,112.81,-85.23,0.02,1
2012-01-11,Central,1143.45,304.42,0.06,1
2012-01-11,East,5723.82,109.0199999999999,0.048,5
2012-01-11,South,6991.65,906.8,0.08,1
2012-01-12,Central,1603.27,452.49,0.01,1
2012-01-12,East,16021.57,4279.45,0.035,2
2012-01-12,South,1431.23,-699.74,0.095,2
2012-01-12,West,4431.4400000000005,688.47,0.023333333333333334,3
2012-01-13,East,39.23,-66.58,0.06,1
2012-01-13,South,297.76,-111.34,0.07,1
2012-01-13,West,1106.33,-110.2319,0.025,2
2012-01-14,East,7666.44,1248.9699999999998,0.06666666666666667,3
2012-01-14,South,3525.7000000000003,-234.57,0.05,4
2012-01-14,West,20459.91,3703.6209000000003,0.05600000000000001,5
2012-01-15,Central,961.02,31.096500000000006,0.016666666666666666,3
2012-01-15,East,51.27,3.27,0.06,1
2012-01-15,South,225.82,-82.67999999999999,0.08499999999999999,2
2012-01-16,Central,327.51,-277.08250000000004,0.065,2
